Nombre , DNI , Num_Tarjeta , fondos , Permiso_Magnetica
Mateito , 45524256 , 1298484728 , 20000 , false
Tomasito , 45524257 , 4734838239 , 7 , false
Adriansito , 45524258 , 3249349922 , 5 , false
Valencita , 45524259 , 3478264323 , 10000 , false
Camisita , 45524260 , 2020438001 , 5000 , false
Ezequielito , 45524261 , 9340240929 , 100000 , true
Solcita , 45524262 , 2349897973 , 238930 , false
Stephita , 45524263 , 2389439264 , 500000 , false
Ariancita , 45524264 , 3287936396 , 45 , true
Juanito , 455524255 , 1231232344 , 40000 , false
